HomeParkZipCode,HomeParkInseeCode,nom_commune_postal,latitude,longitude,code_departement,nom_departement,code_region,JobParkZipCode,JobParkInseeCode
01200,01104,CHEZERY FORENS,46.222573373,5.87248105275,01,Ain,84,24380,24459
01410,01104,CHEZERY FORENS,46.222573373,5.87248105275,01,Ain,84,01130,01152
01390,01105,CIVRIEUX,45.922467454,4.88633786877,01,Ain,84,12700,12052
01250,01106,CIZE,46.2003848172,5.45082526739,01,Ain,84,14540,14319
01230,01107,CLEYZIEU,45.902146623,5.43272695486,01,Ain,84,06620,06070
01270,01108,COLIGNY,46.3866637865,5.3308227014,01,Ain,84,14410,14726
01550,01109,COLLONGES,46.1419227898,5.90040256654,01,Ain,84,24250,24575
01300,01110,COLOMIEU,45.7361469025,5.62670101041,01,Ain,84,05110,05078
01230,01111,CONAND,45.8834810846,5.47541328981,01,Ain,84,14100,14582
01430,01112,CONDAMINE,46.105831161,5.55568206762,01,Ain,84,02680,02257
01400,01113,CONDEISSIAT,46.1538469834,5.08437171701,01,Ain,84,04250,04023
01200,01114,CONFORT,46.1543700156,5.83319395258,01,Ain,84,04220,04063
01310,01115,CONFRANCON,46.270304175,5.05775217893,01,Ain,84,14240,14695
01300,01116,CONTREVOZ,45.8009403071,5.62087768159,01,Ain,84,17120,17034
01300,01117,CONZIEU,45.7253102173,5.60442351043,01,Ain,84,02100,02303
01420,01118,CORBONOD,45.9659473187,5.78961970355,01,Ain,84,14240,14722
01110,01121,CORLIER,46.0336885573,5.49635755029,01,Ain,84,18300,18272
01110,01122,CORMARANCHE EN BUGEY,45.9442772826,5.60860828487,01,Ain,84,18320,18143
01290,01123,CORMORANCHE SUR SAONE,46.2403530179,4.8276569593,01,Ain,84,22400,22044
01560,01124,CORMOZ,46.4336632942,5.22181275755,01,Ain,84,22100,22118
01250,01125,CORVEISSIAT,46.2505107235,5.47152467919,01,Ain,84,08600,08106
01370,01127,COURMANGOUX,46.3267864521,5.35558241812,01,Ain,84,24560,24132
01560,01128,COURTES,46.4570082032,5.11128546723,01,Ain,84,17130,17240
